start...
Finetuning mode
Load outputs/2023-08-31-14-55-19/trained_model/best_weight.pt...
Epoch: 177 / 1000, Score: -500,  block: 25,  Reward: -6.9424 Cleared lines: 0, col: 0/0/0/0 
Epoch: 178 / 1000, Score: -500,  block: 32,  Reward: -8.6544 Cleared lines: 0, col: 0/0/0/0 
Epoch: 179 / 1000, Score: -500,  block: 26,  Reward: -8.6592 Cleared lines: 0, col: 0/0/0/0 
Epoch: 180 / 1000, Score: -500,  block: 25,  Reward: -5.6179 Cleared lines: 0, col: 0/0/0/0 
Epoch: 181 / 1000, Score: -500,  block: 18,  Reward: -7.2095 Cleared lines: 0, col: 0/0/0/0 
Epoch: 182 / 1000, Score: -500,  block: 25,  Reward: -6.0227 Cleared lines: 0, col: 0/0/0/0 
Epoch: 183 / 1000, Score: -500,  block: 26,  Reward: -8.1548 Cleared lines: 0, col: 0/0/0/0 
Epoch: 184 / 1000, Score: -500,  block: 30,  Reward: -10.1895 Cleared lines: 0, col: 0/0/0/0 
Epoch: 185 / 1000, Score: -500,  block: 28,  Reward: -9.4058 Cleared lines: 0, col: 0/0/0/0 
Epoch: 186 / 1000, Score: -400,  block: 35,  Reward: -8.7136 Cleared lines: 1, col: 0/0/0/0 
Epoch: 187 / 1000, Score: -500,  block: 30,  Reward: -8.6074 Cleared lines: 0, col: 0/0/0/0 
Epoch: 188 / 1000, Score: -500,  block: 32,  Reward: -10.6695 Cleared lines: 0, col: 0/0/0/0 
Epoch: 189 / 1000, Score: -500,  block: 37,  Reward: -9.0274 Cleared lines: 0, col: 0/0/0/0 
Epoch: 190 / 1000, Score: -400,  block: 38,  Reward: -9.2841 Cleared lines: 1, col: 0/0/0/0 
Epoch: 191 / 1000, Score: -500,  block: 28,  Reward: -6.1014 Cleared lines: 0, col: 0/0/0/0 
Epoch: 192 / 1000, Score: -500,  block: 29,  Reward: -9.7951 Cleared lines: 0, col: 0/0/0/0 
Epoch: 193 / 1000, Score: -500,  block: 29,  Reward: -7.6055 Cleared lines: 0, col: 0/0/0/0 
Epoch: 194 / 1000, Score: -500,  block: 28,  Reward: -8.5775 Cleared lines: 0, col: 0/0/0/0 
Epoch: 195 / 1000, Score: -500,  block: 31,  Reward: -6.1964 Cleared lines: 0, col: 0/0/0/0 
Epoch: 196 / 1000, Score: -300,  block: 36,  Reward: -8.3015 Cleared lines: 2, col: 0/0/0/0 
Epoch: 197 / 1000, Score: -500,  block: 28,  Reward: -4.5880 Cleared lines: 0, col: 0/0/0/0 
Epoch: 198 / 1000, Score: -500,  block: 27,  Reward: -7.3478 Cleared lines: 0, col: 0/0/0/0 
Epoch: 199 / 1000, Score: -500,  block: 29,  Reward: -6.0718 Cleared lines: 0, col: 0/0/0/0 
Epoch: 200 / 1000, Score: -500,  block: 32,  Reward: -9.7669 Cleared lines: 0, col: 0/0/0/0 
Epoch: 201 / 1000, Score: -500,  block: 26,  Reward: -5.8820 Cleared lines: 0, col: 0/0/0/0 
Epoch: 202 / 1000, Score: -500,  block: 31,  Reward: -7.7640 Cleared lines: 0, col: 0/0/0/0 
Epoch: 203 / 1000, Score: -500,  block: 30,  Reward: -12.3982 Cleared lines: 0, col: 0/0/0/0 
Epoch: 204 / 1000, Score: -500,  block: 32,  Reward: -7.8117 Cleared lines: 0, col: 0/0/0/0 
Epoch: 205 / 1000, Score: -500,  block: 31,  Reward: -10.2592 Cleared lines: 0, col: 0/0/0/0 
Epoch: 206 / 1000, Score: -400,  block: 31,  Reward: -11.5061 Cleared lines: 1, col: 0/0/0/0 
Epoch: 207 / 1000, Score: -500,  block: 37,  Reward: -9.6157 Cleared lines: 0, col: 0/0/0/0 
Epoch: 208 / 1000, Score: -500,  block: 29,  Reward: -6.2822 Cleared lines: 0, col: 0/0/0/0 
Epoch: 209 / 1000, Score: -500,  block: 31,  Reward: -8.8474 Cleared lines: 0, col: 0/0/0/0 
Epoch: 210 / 1000, Score: -400,  block: 32,  Reward: -9.4397 Cleared lines: 1, col: 0/0/0/0 
Epoch: 211 / 1000, Score: -400,  block: 31,  Reward: -9.2289 Cleared lines: 1, col: 0/0/0/0 
Epoch: 212 / 1000, Score: -400,  block: 35,  Reward: -8.3778 Cleared lines: 1, col: 0/0/0/0 
Epoch: 213 / 1000, Score: -500,  block: 29,  Reward: -6.8115 Cleared lines: 0, col: 0/0/0/0 
Epoch: 214 / 1000, Score: -500,  block: 31,  Reward: -10.3508 Cleared lines: 0, col: 0/0/0/0 
Epoch: 215 / 1000, Score: -500,  block: 32,  Reward: -11.1317 Cleared lines: 0, col: 0/0/0/0 
Epoch: 216 / 1000, Score: -500,  block: 31,  Reward: -8.7579 Cleared lines: 0, col: 0/0/0/0 
Epoch: 217 / 1000, Score: -500,  block: 32,  Reward: -7.0982 Cleared lines: 0, col: 0/0/0/0 
